text,target,stance
"I went back to school in my mid-40s and earned a PhD. As a middle-aged, overweight female in a highly competetive field, I found most internships automatically closed to me. I finally had to accept one that paid less than $200 per month--and I had to move 1000 miles from home (renting an apt.) to take it. I learned a lot, and returned home to a good career in my field (after a 2nd lowly-paid year elsewhere--but at least that covered rent). I do understand that the internship site had financial problems. But I am very much aware that I was able to take that internship ONLY because I was a married woman with a husband who worked, and money in the bank. That should not be the norm.",unpaid intenship,AGAINST
"There is a very sick child with a high risk of death without care. Two choices: 1) Care for the child by people who have devoted their lives to the practice of medicine; or 2) withhold or circumvent medical care out of fear, ignorance, and superstition. And we are actually having a conversation about this?",medical care,AGAINST
"I think we spend too much time thinking up ways to make life more difficult. I am an American citizen, as are my ancestors for many generations. I was married in Connecticut, and dutifully pay my taxes to the US every year. But because I married a foreign man, we've had to live overseas for two decades now. If you're going to require American citizens regardless of where they live to pay US taxes, but forbid them to live in the US, is it really fair to also forbid us to acquire dual citizenship from more accepting countries?",dual citizenship,FAVOR
"If we don't help our Doctors and Nurses who are our first line of defense out lives will hang in the balance.
All those chants of U.S.A. means nothing if you cannot help the very people who are AMERICANS.#Covid_19 .#NYlockdown https://t.co/eIHBK9fQ3Q",lockdown in new york state,FAVOR
"No to tax breaks for private education - it takes public money away from public schools, which need. Furthermore, this will further erode separation of church and state. Finally, the is a conservative scam to take public monies for private benefit.",home schoolers,AGAINST
"This is the one post that I agree with. The humanities are that: a human endeavor. Language is probably the most important thing we do, both physically and mentally. It's what makes us human. Ultimately this takes us back to a question the Greeks often asked: what's a good life? What's rewarding, what's fulfilling? These days we all live relatively well, compared to our ancestors at least. Is it absolutely necessity to think purely in terms of utility? I have an HDTV, is it absolutely necessary I have a 3dTV tomorrow? Why? Studying languages and being able to communicate successfully gives insight into culture, gesture, and structure; how is that not useful? I study languages on a daily basis, and I'm not that good at them as I get older. But I liken it to exercising, like front squatting or distance running; somehow, deep down, I know it's good for me.",colleges,FAVOR
"True, this may be a non-issue relevant only to a small number of elite restaurants. But if the issue is the cost and difficulty imposed by no-shows (a real issue for restaurants of any level), it could be solved by a slightly different model: charge for a reservation, on either a flat or an auction basis, but then deduct that amount from the check. Essentially, require a deposit on the meal. Egalitarian concerns go away, since everyone pays the same for the reservation meal; and no-show problems are reduced, since the deposit increases incentive to keep your reservation, and restaurants keep the deposits for no-shows, to mitigate costs. Et Voila!",deposits for reservations,FAVOR
"Something needs to be done, whether it is rating all the universities or putting some common standards of quality. The accreditation agencies are simply not doing their job anymore. There are degrees and programs which are as bad, if not worse, as in third world countries. The media is worried about ivy league and large public universities, but the majority of teachers, engineers, accountants, and others are not educated in such schools. There are universities which have all courses with 4-5 credit hours. The students in those schools graduate with 25-30 courses instead of 40. The quality is getting worse every year and something needs to be done.",accreditation agencies,AGAINST
"I don't think she or her children should given up her Swiss Citizenship. God forbid, if there comes a time where her or her families health goes south, she would at least have an alternative, than to be at the mercy of the American Health insurance system that will turn her away, if her claim hurts their bottom line. While she may have campaigned against Obama/Romney care and helped watered it down, that its no where close to what it could have been, I would really relish her hypocrisy to be thrown into the face of those idiot supporters who rallied to her side against this administrations health care reform. While her family can take advantage of another countries socialist system, her supporters are stuck with crippling debt or the prospect of being denied life by the insurance companies.",healthcare,FAVOR
There are no saints. We do what we do because it's gratifying. We are compassionate because it feels good. We are nasty for the same reason. That includes the woman who thought it was a good idea to withhold pain meds because she wanted the dying to suffer. Mother Teresa was a sadist.,mother teresa,AGAINST
"She said she's never seen an ape evolve into a human. As an argument. She's either excellent at deadpan humor, or a troll. My money's on troll.",creationism,AGAINST
"I think the concept of rating professors online (like just about any other form of public ratings) is ludicrous. To think that students attending a college where they are to be judged by a professor and given a grade for a class should be taken as fair and impartial in rating that professor's performance makes ZERO sense. Even worse, of course, are people who go out to eat and suddenly find themselves qualified to write for Gourmet Magazine. I read these reviews occasionally but NEVER take them seriously. Still, complaining will do nothing to stop this from occurring. Such are the times we live in and nothing is going to turn back the clock HOWEVER I, for one, think the concept is pretty repulsive and anyone or any institution that takes these ratings seriously is, by my definition, a person not to be taken seriously.",rate professors,AGAINST
"One of the sad consequences of this admission problem is that students attending out-of State Universities are more likely to find internships out of State and eventually jobs out of State. While this is not life threatening, nor completely negative, it does have a personal impact (somewhat like emigration)",employment,AGAINST
"Food and water security are intertwined: ""Adaptation costs water."" #CFCC15 #journey2015 #L25 #SemST",climate change is a concern,FAVOR
"I agree 100%. I believe everyone, not only babies or children, need a balanced healthy diet. Like the author states, our bodies are designed as omnivores. To go against nature is going against the unchangeable law. We cannot change how we are designed, or what we need to survive healthy. It is the way of life. Nothing artificial is ever an adequate substitution. The 'real deal' is much preferred, and in this case, much healthier.",veganism,FAVOR
"I wish my education in biology was better, I'm reluctant to engage creationists on   evolution   because I just don't have the knowledge. But I can tell a good thumping when I see one!You go!",creationism,AGAINST
The reason that we should not give home-schoolers a tax break is simply that the education of our youth is the civic responsibility of the entire adult population. Period. If some people choose not to use the publicly funded system then they are free to do so but that does not exempt them from contributing to the freely available public system.,tax break,AGAINST
"As a dual citizen of The United States and Bulgaria,i strongly feel that it is a benifit. I did not want to lose my allegiance to my mother country, however i also wanted to take advantage of all the wonderful oppertunities this country has to offer because they were not available to me back home. Its a privelage that should not be taken advantage of.",dual citizenship,FAVOR
"1. This 'Food Babe' (neat commercial!) seems to think that her personal campaigns forced some mega food companies to change their labels. Consumer protest works, but not when it is a solo effort. A bit much self-promotion here. 2. This debate is about one word, ""natural."" Language is too complex for the debate to be about one word. The issue is can claiming in the name that something is not present. It defies logic to state in a product name that lemon is in the product when in fact there is no lemon at all. That is simply misleading (bold face lying). ""Lemon"" in common nomenclature is something that comes from the lemon plant, not it's laboratory produced analog. Isn't truth in advertising the issue? 3. My food slogan is ""I'm very careful about what I put in my mouth."" So that unfortunately means every label must be scrutinized.",food labeling,FAVOR
"I have 3 degrees and have done internships for at least 2 of them. They were a part of learning, of interacting and of responsibility. It never occurred to me that I was cheap labor. At each position my supervisor opened windows into the field. The insights I gained were used throughout my career.",internship,FAVOR
"Likely the Royal Family will undertake to finance the wedding without the public's help. The family is wealthy enough to do so; the segment of the British public that disapproves of the royals might have a favorable response. BTW - as I understand it, while the British government provides support for the family's state functions, the family provides for their own personal needs out of the income from their personel estates. It works pretty much the same here in the States. Back on the subject of this Room for Debate article, I hope the paparazzi will remenber the lesson learned in Paris, and give the new couple a break.",royal family,FAVOR
"Question: Why is it that the contestants in these pageants are women not men? Answer: Because it's women who are judge primarily for their beauty. Stop dehumanizing women! Judge a woman as you judge a man- ""for the content of their character."" (hummm..rings familar; where did I hear similar words before?). Judge them for their kindness, intelligence, talent, strength, creativity... Test: Don't mention a woman's physical attributes if you would not feel compelled to mention the man's physical attributes in the same context.",women,FAVOR
"He seems not to understand or care about the damage done without accountability to the regulations, i.e. he's got the trust, but forgotten the verify. Without verification, regulations don't matter very much. With verification, inspection etc, you have something; without you'll just get cheating regardless of the regulations. What we need is more inspectors and independent verification regimes - funded by the industries involved.",companies,AGAINST
How about a comparison with the ultra-reactionary publicly vocal activism of Justice Scalia? If I remember correctly he often did not hold back in making clear his personal opinion on many politically contentious issues. How about some historical context on the politically relevant comments of Supreme Court justices?,political bias,AGAINST
"The average teacher may have one at most two classes on children's or young adult literature. Many that I have met have an extremely shallow knowledge of this category of learning. In contrast librarians have a tremendous base of knowledge that guides not just students but the teachers within a school. Beyond the love books and knowledge librarians empower students to go beyond google, they help students learn differentiate and validate information in the sea of misinformation that characterizes the internet today. Yes teachers and schools can stumble on without a librarian, but it is as if we would ask a child to each McDonalds for a meal everyday. Their education is ultimately nutrient diminished.",school librarians,FAVOR
@govindaahuja21 guess so https://t.co/rtMYgyIWX9 will be next on #MeToo #MeTooControversy #MeTooIndia #MeeToo by @MadhuriDixit  #fakebollywood lol........ https://t.co/hOUOGPwLnF,metoo movement,FAVOR
"#MeToo: More Bollywood directors named; Subhash Ghai denies allegation, Sajid Khan accused by actress - Economic Times https://t.co/wGUcZsp4c7 https://t.co/Q22ErhptDG",metoo movement,FAVOR
Breaking: @Disney-@21CF acquisition questioned under antitrust... #DisneyFoxDeal #Disney #21stCenturyFox #Mergerâ¦ https://t.co/VysniZbfMG,merger of disney and fox,AGAINST
"Companies and entire industries (best practices - ha) have proven over and over, ad nauseam, to be no more capable of ' regulating themselves ' or their industries than 5 year-olds are capable of regulating their behavior when left alone in a room with a pile of cookies on a table next to glasses of milk !",regulation of industry,AGAINST
"The LGBT minority must repent for not valuing and respecting the non-LGBT majority. As far as we know all of the disciples were heterosexual married men. Jesus was not engaged in a gay pride parade during his 3 year ministry. And Jesus did not just come to suffer without knowing the joys of food, dancing, alcolhol and sex. And we do know that without the two biological human sexes contributing an XX and an XY that the human race would be doomed. Tolerance and equal treatment is the minimum expected for all human beings. The LBGT that were targeted in Orlando were predominantly black African American and brown Latino Hispanic American.",lgbt,FAVOR
"Wait, we have trade and diplomatic relations with China, which is by all practical means a dictatorship, but we can't have the same with Cuba? How long are we going to appease the Batista cronies in the United States and heirs? All they care about is their property rights.",the u.s.,AGAINST
"We are so becoming a failing nation. Between the rights of illegals and uneducated and now obese are claimimg rights, we will never survive as a country because the ills of the country will never ever keep the country going.",illegal immigrant rights,AGAINST
"When did having 75% of the students passing a course with a C or better become a good thing? I think that a 75% passing rate is not good. Did anyone work with these students to understand why only 75% of them passed? How much did the 75% who passed understand? Were they able to apply what they had been taught on line? I've taken online courses and they were not well designed, flexible, or conducive to having a discussion. This holds true for a set of courses I took 5 years ago and for several I've taken in the last year. Having an on line course available in conjunction with a live course would be great. Then the students can go over it to see what they've missed, ask questions if that doesn't help, and refer back to it when their notes aren't enough to recall the subject matter to mind. But exclusive reliance upon on line courses is foolish.",the best way,FAVOR
"I am appalled by the right-wing government in Israel and by the unfailing American support of it. The Israelis seem to believe that if they can only employ enough force, they can solve their problems. This is bankrupt both morally and intellectually.",freedom of isrealis,FAVOR
"I check out the Mayo Clinic and the NIH when I want general information. Many of us do. It has helped me determine that I didn't need treatment for subconjunctival hemorrhage, but that my daughter probably had pneumonia after a serious viral infection, and needed treatment. Using a website to substitute for knowledge that takes a physician a minimum of ten years to acquire is nuts. Using a website to gain general information is not. I know the adage - "" A little learning is a dangerous thing"" - but no knowledge is pretty dangerous too. Adjust to the era. Information is out there. Support efforts to teach people how to use it.",information online,FAVOR
"Why are the trade names for these medications suddenly taboo in the news? Are the reporters for some reason not allowed to say Percocet, Vicodin, Hydrocodoe, suddenly, just like they were not allowed to say 'torture' . And of course, training is required. Doctors shoveled Hydrocodone at me after my back operation, 240 pills, and I needed exactly zero. It was weird. Not only that, an intelligent nurse took me off hydrocodone while I was in the hospital, saying it was not having a good effect on me, and that should have guided the exit prescriptions, also, instead of just getting the xerox copy from the already written doctors wrote orders. Doctors are not allowed to divorce their brains from their profession, despite the obvious example Ben Carson showed us of what type of skills make one a top surgeon.",opioid training,FAVOR
"RT @aliasvaughn: In New York, a protester carried a sign reading: ÒHang Fauci. Hang Gates. Open all our states.Ó

At an anti-lockdown proteÉ",lockdown in new york state,AGAINST
"""when peach baskets were nailed to the railing of the running track at the Springfield, Mass., Teachers College one day in 1891, they were hung at 10 feet -- because that was how high the railing was."" A strange argument for never changing the height of the basket. If it was arbitrary to begin with, why should it be treated as the holy grail now?",peach baskets,AGAINST
"#OregonLockdown
#OregonWakeUp
#OregonGovBrown

Dear Lord Jesus,
This morning we ask you to quickly remove Gov Brown (OR) &amp; all those who would oppress their people through these extended lockdown orders - Gov Newsom, Gov Polis, Gov Lamont, Gov Cuomo, Carney, Ige, Beshear, Mills, https://t.co/m0x2gqNZqF",lockdown in new york state,AGAINST
"Well personally, my second cousin by marriage on my mothers side descends from the Archea branch, but my bosses boss is an arachnid. To my knowledge they are not related.",creationism,FAVOR
"In 1959 or so our family took an epic car trip around New York State and Connecticut. My brother, sister, and I still talk about that trip - good memories. My wife and I always took our kids on vacations. We all had a great time and I hope that their memories of these trips is as fond as ours are. Now that they are grown up and on their own, we have the time (and money) to take trips by ourselves. My dad always wanted to drive cross country with us (or to conserve time, to fly to Denver and drive to California). Because money was tight, we never took that trip. At the end of his life, one of his only regrets was that we never took that drive as a family. ""In the long run, the cost was nothing - but think of the fun we would have had!""",drive,FAVOR
"Hey kids, let's gang up on the Jews again. Watching the Palestinians giving out sweets to their kids on 9/11 only shows what we may be in for if there ever is a Palestinian state. Or, give them a part of Iraq. They will fit in nicely with ISIS.",palestinian,AGAINST
"We, and our government, have allowed the airlines to consolidate down into monopolies. Air travel is really no different than any other travel, a human necessity that should be copiously regulated. Make airlines like utilities, available and accountable to everyone.",airline industry,AGAINST
The truth can be be seen by those with the will and courage to look. Although racism and prejudice is a complex social cultural learned mindset and practice it is also a practice used by the dominant group in power to maintain power. Witness slavery Jim Crow 5000 lynchings Stand your Ground and now white cops using laws to search arrest and kill black men to send a message that they don't want blacks latins or any minority to rise up and be equal. Whites are losing dominace and this is a rising period of backlash and control. The personal is political. Yes this was a personal murder. But if we care to look it was a white cop saying to himself this black man was not going to have his way in this world I can kill him and terrorize blacks.,racism and prejudice,AGAINST
"Freedom has been known to come with a price. I suggest that all children who are non vaccinated wear masks in all public places, including school. Perhaps those wise, well edcated and freedom loving parents will reconsider their choice not to vaccinate.",not vaccinating,FAVOR
@MichaelJosem @NoaBakehouse @CloseLeeceFarm I was previously wasting my time and keeping the NY Bakery Co packs in the freezer... The things you learn in lockdown!,lockdown in new york state,NONE
"I agree with much of Bishop's comments. Polls track reactions to questions rather than opinions about society. That said, this is also how our political system works; politicians speak in bumper-stickable clich��s, provide little if any rationale for their positions, and ultimately voters enter a booth to poke a hole in a piece of paper. There is no national conversation.",pollings,AGAINST
When I was very young I would salt and pepper my morning cantaloupe. One of my younger sisters friends would sprinkle sugar on cottage cheese. We have since grown up and I suspect neither of us does this any more. But I still consider a restaurant salad incomplete if I cannot have fresh ground pepper and a sprinkle of salt to finish the preparation at the table. I have been to restaurants that don't place condiments on the tables. A few I have even returned too. But generally I don't appreciate chefs in jackboots. Not when they expect me to open my wallet.,food preparation,FAVOR
It is in a Biblical context. It isn't wrong from the viewpoint of a rationally thinking person.,gay rights,AGAINST
"I am quite concerned that Chua's essay published in the Wall Street Journal only serves to reinforce and promote stereotypes not only of Asian parents and their children but also of American parents and their children. She presents her own personal experience as though it is reflective of all Asian families and negates the existence of individual differences within a culture. Morever, her extreme parenting style, with a decided emphasis on the child performing in ways to meet the parent's needs and expectations, negates the existence of a child as an individual separate from the parent.",extreme parenting,AGAINST
Trump Mocks #MeToo Movement Days After Decrying âa Scary Time for Young Menâ https://t.co/d96uqUkJrq https://t.co/PxTjUAiiog,metoo movement,AGAINST
"HAHA! I am soon to be the mother of two smart young women. They're too young now to be eligible for Miss America. But I can assure you, I will NOT, as you say, encourage them to ""consider competing in the Miss American pageant."" NO WAY. I will vociferously DIScourage them from doing so. Any ""scholarship"" competition that asks my daughter to put on a swimsuit without asking them to actually swim; or put on a dress that she has not designed and sewn herself is NOT a competition we want to be involved with. Any job or school that asks her to submit a photograph of herself for the purposes of judging her attractiveness: also, no. It's a farce, Ms. Friedman. You've been sold a false bag of goods. You don't have to be slender and gorgeous to be a scientist, musician, policy advocate, or any other such important job. Not even to be a TV pundit. Well, if you're a man, anyway. Plenty of gnarly looking men have front and center jobs in front of the camera. Hm.",miss america pageant,AGAINST
"Agreed. Although I cannot speak for restaurant owners, I would be insulted if dinner guests at my home sloshed ketchup and Baco Bits on a dish that I had spent hours preparing with carefully chosen ingredients. They certainly would not be invited back, as I would figure they might as well stay home and prepare food to their own liking. Same for salt. Personal taste? Perhaps. But analogously, who among us would abide houseguests rearranging our furniture or removing pictures from the walls to suit their personal taste?",seasoning food,AGAINST
"Airports and the roads on east nor west coast can not handle the present volume adequately as is. I did ride the vast trains in Europe, Japan and China and found them very comfortable and providing much better connections and more efficient.",train,FAVOR
"@realDonaldTrump some wacko in the state of New York also known as Governor Cuomo is trying to keep the state on lockdown till he has enough contact tracers in place, please help the Hudson Valley. #savethehudsonvalley",lockdown in new york state,FAVOR
Sexuality in the fruit flies seems to be regulated by how they interpret the scent of another. This has been shown to be regulated genetically or through drugs. Are you confident that human sexuality works the same way and the study shows that human sexuality is genetic?,gay rights,AGAINST
"""[T]here were 1.5 million fewer native-born Americans working than in November 2007, while 2 million more immigrants (legal and illegal) were working. Thus, all net employment gains since November 2007 have gone to immigrants."" That's a woefully fallacious inference. What's a ""net employment gain""? You can't have a gain without an idea of a baseline--what is the relevant level against which we say that we have gained jobs? We have no idea what the jobs situation would be like without those 2 million immigrants; it could be that without those immigrants buying goods and services, we would have even less employment for non-immgrant workers. This kind of argument commits the fixed pie fallacy. It assumes that there's some fixed amount of low-skilled jobs that will exist anyway, and every job an immigrant takes is one a non-immigrant low-skilled worker loses. But that's obviously not how the economy works.",the threat,AGAINST
"I am a gay man who has been living for several decades with HIV. I frequently comment on both health and political articles and use my very personal story to illuminate some aspect of the topic or to explain my viewpoint. I think that this perspective can be important, but if I could not post anonymously I would remain silent. Before the days of on-line commenting I was an avid writer of letters to the editor and on several occasions I received hate mail and threatening phone calls. I'm no longer willing to set myself up as that kind of target. Also, even if you abolish anonymous posting it's easy enough for the motivated trolls to fake their on-line id and continue to post their bile.",comment sections,AGAINST
#NAME?,creationism,AGAINST
"Ladies please stop being dramatise things,if you experience such a incidents react immediately 

Me too me thee me four can't be change thing trump enjoying US presidency Ronaldo enjoying his best days 
Only option is be brave and act like this brave women ðð½
 #MeToo https://t.co/UajmkVGF5g",metoo movement,AGAINST
"Most Americans have the same attitude about languages other than their own, as they have about those people who might speak them--fear [and eventually hate]...Although I was educated in what seems like the last ice age, instruction in foreign language began in earnest in middle school and graduating with a bachelor's degree required competency in both a classical (Latin, Greek, Hebrew) and a modern language (French, Spanish, or Italian). With all the teaching aids at our fingertips now, the old curriculum should be revived. [And don't ask high schoolers what they think-just tell them what they should do.]",foreign language education,FAVOR
"Pearce wants to fix the overpopulation problem by, "" low-carbon energy, recycling of everything from metals to water and fixing the massive inefficiencies in food production."" This will not solve the problem, only temporarily and then exacerbate it. There is only so much hay in the pasture folks, you can stretch that hay out any way you like, but in the end, we must control human growth rates. When we have food, we will reproduce and that creates a host of other issues in the long run.",fixing the overpopulation problem,FAVOR
"My pursuit of my 'right weight' also includes a daily cardio & weightlifting routine, cycling (18-20 miles a trip), hiking (6-10 miles) and the like when I'm not in the gym, visits with my physician, a nutritionist (confirming my already stellar diet) and an endocrinologist. And here I sit still, @ a 35 BMI. There are nights I've cried myself to sleep, exhausted and sore while my body mocks my attempts to reach my 'right' BMI. And while I will likely never, ever get there, I take comfort in my fitness. Yes, FITNESS. My blood sugars are stellar, my cholesterol good, blood pressure low and resting heart rate my doctor's envy. Are all obese people this way? Of course not. But as discussed now, I would be labeled a high medical risk for 'failing to be thin' and fair game for discrimination. Tell me how these things would apply to ME, oh sage ones who think everyone is fat because they want to be.",fitness,FAVOR
"My son contracted pertussis at the age of 45. I suffered a spider bite and he accompanied me to a clinic in Australia (we were there on holiday) and he apparently contracted the disease in the waiting room. Adults who lived in the Australia were urged to receive a booster because of an epidemic they were experiencing at the time. Obviously, there were some people in the waiting room who had not been vaccinated. Chris, my son, was living in London at the time and the adults there were not reminded to be re-vaccinated. Although my son was a healthy adult, he was ill for over a month with pertussis. Not only was he unable to actively enjoy his vacation but he was unable to travel back to London to work until his illness resolved. Luckily his two very young children had been vaccinated and he was the only one in the family who got sick. This particular communicable disease can be fatal, especially for young children or those who are immune suppressed. If you don't want your children to be vaccinated you may want to think of others who may suffer from your decision.",mandatory for all children,FAVOR
"Since when, speaking to one of the other posters, did ""chance"" become a word to bias any argument AGAINST   evolution  ?  Doesn't make sense, unless the poster is reading into something that probably isn't inferred and possibly feels an affront to his or her sensibilities.-Christopher  />ctorri@sycr.com  ",creationism,AGAINST
"First, let's define capital gains. There are investments and there is gambling. 10-millisecond holding time is not investment and does not create jobs except for some overpaid Wall Street types. How about eliminating taxes on investments held for at least five years?",capital gains tax,AGAINST
"Students that do well on the bar exam are also students who do well on law school course exams. And those students also do well on the entrance exam. Of course, those are students who did well in college course exams. And good college test-takers did well on the SAT. So why not just go straight from the SAT to practicing law? Fact is, the reality of the bar exam is a powerful motivation to actually learn the material. There's merit in making freshly minted JDs do that. Just because we know certain students will do well on the exam, shouldn't excuse them from doing the work.",bar exams,FAVOR
"Every thing found in nature got to be by some kind of mutation and even engineered genes are now found in nature. The difference would not be detectable unless one has prior knowledge of some kind. So engineering is a cause of mutation as well as human intervention. The purpose of patents is to provide a monopoly in the market for the innovators in order to encourage innovations. But extended monopolies tend to discourage further innovations, so the length of patents must be limited. The patenting of naturally occurring gene sequences has resulted in the legal requirement of anyone treating conditions related to those sequences patented be approved by and compensation provided to the patent holders. It's a perverse use of patents that actually inhibits innovations and blocks medical care for seriously ill patients. It's morally and ethically degenerate and it violates the principle that knowledge about nature is not subject to patents or copyrights. The subject of engineered genes should probably handled like horticultural products.",mutation,AGAINST
"yup,gays should have the right to marry becoz they are attracted to each other...and if they are in true love then they should proceed..and it will also help to decrease the population...........................................",gay rights,FAVOR
"Part of the problem is the way this whole thing has been planned out. The state of California owns, and Amtrak operates, the Capitol Corridor between San Jose and Sacramento. Why couldn't the money be spent upgrading that line, building exclusive grade-separated and electrified tracks for HSR? That way, there would be true high-speed service on one of the busiest passenger rail corridors in the country and also a demonstrator line that could put to rest a lot of the disinformation spread by right-wing think tanks funded by the oil industry.",high speed rail,FAVOR
"For a small college dropping such sports programs is probably wise but for the big schools, it's not. The Penn State scandal brought out all the reasons that intermural athletics which draws popular audiences can undo an institution of higher learning. The enormous amounts of money from the media, media sponsors, alumni and fans of the sports programs led to the University finding itself incapable of dealing with a serial pedophile on it's staff. But these programs do bring lots of revenue which all of the other activities of a University simply don't. There are no taxpayers in this country willing to support the education of other peoples children, anymore. The costs of going from papers and books to electronic communications as well as the collapse of actual wealth creation in this country has raised the costs of doing everything that Universities do. The revenues from NCAA athletics are very important.",college sports,FAVOR
"#Mumbai: After multiple sexual harassment allegations against music composer #AnuMalik @SonyTV has issued an official statement, stating that he is ""no longer a part of the Indian Idol jury panel. (File Pic)
#TV9News #MeTooIndia #MeToo https://t.co/1AwaTFaIM7",metoo movement,NONE
"Bollywood's dark secrets revealed, India's #MeToo gains momentum as Tanushree, Kangana and Pooja Bhatt open up - Times Now https://t.co/GDzq5BH8XG https://t.co/YlgK0h2FCV",metoo movement,AGAINST
"I think the time to learn a language is early, in elementary school. That's when being exposed to other ways of speaking, doing things, other cultures, can make such an impact. In college it's just a burden, and a very expensive burden with the cost of tuition.",early learning,FAVOR
"What bunk. The worst dietary info we've gotten has been from the USDA! There's a very simple cure for the obesity epidemic. Stop subsidizing food. Americans spend far, far less of the income on food than those in other nations. End the farm subsidies. End the food stamp subsidies. Stop interfering with market mechanisms. The price of food will rise, as it should, and the obesity epidemic will slowly become a memory. The nanny state mentality is the source of most problems in this country.",food subsidies,AGAINST
"I would go even further. Making all beaches public, and requiring public access to all beaches WITHOUT the beach-goer having to pay a fee to get to the beach. FOr instance, the NOrthern California coast is spectacular, north of San Francisco. I find it offensive to come to a place like Sea Ranch, and find that all the pullouts along highway 1 in this area, from where one can walk to the beach, require you to pay a fee to park. So, unless you are traveling the highway without a car, there is no way to access the beach at Sea Ranch without paying a fee. THis should be forbidden. In my view, we should also prevent people from being able to buy land within a certain distance of the water in areas that remain undeveloped, in order to better preserve these undeveloped areas.",beachfront homes,AGAINST
"Those who ascribe to a mythology-based belief system are well-known through history for the demonizing and murder of everyone else not like them. Christians have 2000 years of experience in the killing of Jews and others, and LGBT folks are only a more recent target because they have been harder to recognize in years past. Organized religions are gigantic hypocrisy machines, pointing to ancient texts to explain how kind they are while running pogroms and burning heretics at the stake most of the time. Our society should step away from the taxpayer-funded support of those whose sacred texts read like comic books with fairies, supermen and flying horses. The Lord Aquaman will be ok with that, since he is all merciful.",a harmful atmosphere for gays,AGAINST
"One way Americans can change their diets is to do it ONE small step at a time. For example, I decided to drink green tea in the morning, instead of a coffee latte. Later, I decided to substitute iced water for soft drinks. Another change was whole wheat thin buns for sandwiches, instead of regular bread. Instead of yogurt with lots of calories and sugar, I now eat plain, non-fat Greek yogurt mixed with fresh fruits like blueberries or bananas. Each change was painless and over the years the weight melted away, until I reached a BMI number of 22. I think I would have been discouraged if I had tried to make all the changes in my diet at once. It would have seemed too hard.",advice about eating well,FAVOR
That moment when Canadians realised global warming doesn't equal a tropical vacation #BCwildfire #Canadaburns #SemST,climate change is a concern,FAVOR
"Legal immigration is not the issue. Illegal immigration is the issue. Arguing that legal immigration and illegal immigration together sometimes produce positive results is irrational. We can have legal immigration without illegal immigration. The truth is that students whose families immigrate legally from Europe, Asia and Africa-but not Latin America-to the United States are more likely to graduate from high school than native-born students while students whose families immigrate illegally are far more likely to drop out than native-born students.",legal immigration,FAVOR
"Unfortunately, librarians are an endangered species. They will go the way of school nurses and school psychologists. Soon there will be only the dull hum of programmed learning on electronic media with not human interaction except at recess. All our kids and grandkids will be the losers.",school librarians,FAVOR
"""The imperative of the moment is to restore NATO's tattered credibility."" And NATO's tattered credibility is going to be restored by sitting on the sidelines and tut-tutting while Russia subjugates Ukraine? You can't be serious. If NATO sits by and watches the Russians take over Ukraine, how much confidence will Eastern Europe have in NATO? Do you think that Russia's adventurism will be sated by reducing Ukraine to a vassal state? Putin is riding the tiger he let out of its cage. You know he can't get off. Next it will be the Baltic states and Poland. So here is your only choice: Do you want to take on Putin in Ukraine or in Estonia or Poland?",nonmbers,FAVOR
"'Feminist writer and comedian Kate Smurthwaite responded to those concerns, saying it is statistically more likely to be struck by lightning than be victimised by the Me Too campaign.' :-) 

#MeToo at the #FiLiA conference, as is @Cruella1 

https://t.co/WoZxLYT5Zx https://t.co/H8afCSXCq1",metoo movement,AGAINST
"No, if you take it literally, its basically saying men lie with a woman by sodomy.",gay rights,AGAINST
"Contrary to some belief, Evolution doesn't conflict with creationism~You just have to read the first story of the bible, Adam and Eve, in a less literal sense.",creationism,AGAINST
"When I adopted my precious cat about 20 years ago, the women who had rescued it were thrilled that I said it would be an indoor cat. Free to roam my fenced back yard as I watched her. When I asked my veterinarian if a declaw was OK she said it would be fine from a medical, procedural and moral stand point because the after affects would be fine and the cat would not be defenseless as an indoor pet. I went back to the rescue ladies who were strong animal advocates and they were supportive of my desire to declaw. So, it was done. My cat and I had ten great years together and her inability to scratch me when holding her or playing with her endeared her to me all the more. If an owner of a cat has a similar situation as I had, I'd say it's not up to the state to meddle.",your cat,FAVOR
I think that is what is called a Freudian slip...,creationism,AGAINST
"If only judges in the 1930s had loudly spoken out against fascist politicians and leaders. Now, in the 21st century, when the rule of law itself is under attack, it is their ethical duty to do so. And shame on Professor Gillers, whom I normally hold in high regard.",judges in politics,FAVOR
"How many of us as high school seniors had to write a weekly English essay? From whom did we learn how to compose a well constructed essay? Isn't the art of readable writing (thank you, Rudolf Flesch) worth mastering solely to satisfy one's own sense of competency as a human being?",english composition,FAVOR
hopefully the #HimToo movement will encourage boys to keep their dicks in their pants out of fear that their mom will want to tag along on all of their dates. #MeToo https://t.co/NSrJDq752G,metoo movement,AGAINST
"Law school is only a trade school, let's not get so grand about the quality of the students. To a large extent lawyers are a pimple on the backside of humanity; they produce little of value (while charging dearly), don't cure diseases nor build anything. I graduated from an Ivy League law school and am constantly finding better lawyers from ordinary schools because they have more practical experience.",law schools,AGAINST
"Yes, I do believe we are devolving to some degree. Advancements in medical technologies have negated Darwin's theory of the survival of the fittest allowing more than a few people who may have perished due to their own stupidity to not only survive but reproduce.",evolution,FAVOR
what is at stake is the survival of our and next generation - Indigenous People Youth #UNGA #Action2015 #COP21 #SemST,climate change is a concern,FAVOR
