"Original Text","Predicted Target","Predicted Stance","Ground Truth Target","Ground Truth Stance"
"Cix advocating for equal rights in education for children, getting involved in an anti-cyber bullying campaign and kim seunghun donated to two wildfire causes... They're such amazing role models fr.","cyberbullying","FAVOR","Cix","FAVOR"
"Not at all surprised to see SLNH up on the day while nearly the entire crypto mining sector is down. This is almost certainly an immediate result of US regulators making a push this week for a transition to clean energy mining... Soluna is as green as it gets!","regulation of cryptocurrency","FAVOR","clean energy mining","FAVOR"
"DCI forensic lab opened: Pres. Kenyatta officially opens the National Forensic Laboratory Uhuru says the lab will be a game changer in the fight against crime Lab to help unravel crimes including murder, robbery and terrorism","forensic lab","FAVOR","National Forensic Laboratory","FAVOR"
"lawsuits are expensive, in any case. she most likely didn't have the money to keep it going against a wwe superstar of all things, that does NOT mean she didn't have enough evidence or that he's innocent. Not for a SECOND does that mean he's let off the hook. Fuck ratt fiddle Fightful Wrestling Fightful Jul 13, 2021 Report: Samantha Tavel Candy Cartwright Drops Lawsuit Against Matt Riddle","lawsuit","FAVOR","Lawsuits","AGAINST"
"All governments and the coalition peaks have committed to independent oversight and accountability of progress under the National Agreement. ozprodcom","independent oversight","FAVOR","the coalition","FAVOR"
"More hot takes. You pay health insurance premiums based on your BF , blood work, fitness minutes weekly, etc No way in hell I should be paying the same as Brenda in Finance who takes the elevator instead of stairs and eats all the donuts from the breakroom","obamacare","AGAINST","Brenda in Finance","AGAINST"
"Dallas Cowboys Safety Markquese Bell, Florida A M University First NFL Preseason Game Saturday August 13th at Denver Broncos 9pm ET on NFL Network","nfl","FAVOR","Florida A M University","NONE"
"Y'all, I had shingles years ago, as a young person, incited by extreme stress reactivating the chicken pox virus inside me If Bieber's under stress or has weakened immunity, that could've triggered his shingles Assuming it's a vaccine side effect reveals your medical ignorance","shingles","AGAINST","weakened immunity","AGAINST"
"Has someone written a nice explainer about current negative excess mortality and why it's hard to interpret because of displacement, population growth ageing, low flu rates and the complexity around choosing a counterfactual? so I don't have to try and write one?","lockdowns","FAVOR","Low Flu Rates","AGAINST"
"THREAD: Va Dems were criminal justice reform all stars over the past year, yet Terry McAuliffe, their likely gov. nominee, doesn t have the best record on CJR. Advocates are anxious to know if he'll be an ally. Does his CJR platform assuage those concerns? Let s find out... 1 24","criminal justice reform","FAVOR","Va Dems","AGAINST"
"FDA advisors just voted 19-2 to recommend reformulated boosters for Omicron. I remember when the idea of annual covid vaccines was called a conspiracy theory. For some people the Omicron booster could be their 5th shot in 2 years. 98 316 1,434","covid","AGAINST","annual covid vaccines","NONE"
"Game time but yet again... where do international student athletes stand? Ralph D. Russo ralphDrussoAP Jun 18, 2021 Full memo from NCAA President Mark Emmert emailed to membership.","college athletes","FAVOR","International Student Athletes","NONE"
"Update: TASS Agency: More than a thousand Ukrainian soldiers who surrendered in Mariupol have been transferred to Russia for investigation.","prisoners","AGAINST","TASS Agency","NONE"
"July 02, 1936, Texaco sign at Abe's Plaza Gasoline station, with price for gas listed at ELEVEN and two tenths CENTS, Tremont Avenue and Dock Street, Bronx N Y.","gas prices","FAVOR","Texaco","FAVOR"
"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football. bbc.co.uk Rebecca Welch is first female referee added to EFL national list 45 174 1,689","referee","FAVOR","EFL national list","NONE"
"Uh oh, what about putting on your Boichik bagel? Financial suicide? Not many can afford to keep up with CA home prices, regardless of their bagel consumption. Let's stop acting like not having 1.4 mill for a home is a personal failing. Our home prices are a policy failure.","housing","AGAINST","home prices","AGAINST"
"We urgently need reform of our political governmental order. The current system is wildly distorting, results in hijacking by partisan forces, mandates dishonesty in politics, only serves factions not The People, has led us down a sewer because restraint decency have gone. 19 349 1,049","political reform","FAVOR","political governmental order","AGAINST"
"Note the change in vehicles with various fuel types over the next decade! Diesel Gasoline run vehicles will almost diminish possibly anyone having them may not get good price in the 2nd hand market! On the other hand, EVs and hybrid will rule the roads! sonacomstar","climate change","FAVOR","EVs and hybrid","FAVOR"
"Peru's Presidential election fashion contest: Castillo: 'Chotano' hat, smart proletarian shirt jacket, cross necklace to show faith. Vs. Fujimori: Heiress of corrupt dynasty wearing a football shirt everywhere to appear normal. No evidence that she's a sports fan.","presidential elections in peru","FAVOR","Fujimori","AGAINST"
"1 Beyond honored to present some of the work drsforamerica has been doing during the Month of Action to HHSGov and DR. FAUCI! my parents may finally be a little proud of me! As Dr. Fauci said: it takes each of us to help get folks vaccinated. con't","vaccine","FAVOR","drsforamerica","NONE"
"Rahim Yar Khan Hindu Temple that was desecrated is renovated and open as of today. 100 culprits arrested as well. This is our Pakistan. This is our love for equal rights. This is us standing United. PAKISTAN ZINDABAD 41 680 3,147","hindu temples","FAVOR","culprits ","AGAINST"
"- 2015 Monday: To reduce carbon dioxide emissions by 32-percent of the 2005 levels, President Barack Obama proposes the Clean Power Act, which is more stringent than the plan offered by the Environmental Protection Agency by 30-percent. 1","climate change","FAVOR","President Barack Obama","FAVOR"
"Welcome our new President and CEO Phyllis Cuttino to Climate Reality! Her experience in climate, clean energy, and amplifying diverse voices to excites us with for the future. Give Phyllis a HUGE welcome in the comments with us! 0:13 1,319 views","climate change","FAVOR","CEO Phyllis Cuttino ","FAVOR"
"Emily promoting Disney JungleCruise Also Emily: ANAL BEADS LMAO. TheRock listen Big man how do you deal with someone like her. The following media includes potentially sensitive content. Change settings View 1","disney","FAVOR","TheRock","NONE"
"I have steel plants in the United States . Mississippi , Alabama , South Carolina , Florida , Georgia . Football hotbeds . they started watching on espn plus . They loving the Canadian game . We can do this . Let s be cfl , not nfl . We are entertaining . But think bigger","cfl","FAVOR","steel plants","FAVOR"
"In 2019 more people died than babies born in five states. In 2020, in 25 states. We are on the verge of negative population ""growth."" Likely a good thing given current trends in mental acuity, compassion, and civility.","population growth","AGAINST","growth","NONE"
"Johnson's plan removed all legal restrictions on 24 Feb 2022 Since then 12 children young people have died Compared to four in the same period last year Source: ONS Covid deaths, age 0-19, England Wales, weeks 8 to 20 by occurrence is","covid deaths","FAVOR","Legal Restrictions","AGAINST"
"Sears was a catalog powerhouse since their beginning. How the hell did they miss online shopping? Maybe it was equity firm to bought and gutted it?","online shopping","FAVOR","Sears","AGAINST"
"Finalists at the women's Euro 2017, semifinalist at men's Euro 2020 - what a period for Danish football","women's soccer","FAVOR","women's Euro 2017","NONE"
"Latest rents data: by January 2022 city center rents are back to their pre-pandemic trend. Suburban rents are way up at 20 above trend. is increasing the demand for space, and since the supply of real-estate is fixed in the short-run, rents have surged.","rental housing","FAVOR","city center rents","NONE"
"Are you looking to invest in some EQUIPMENT for creating your content? Andy is here with his top tip that will raise quality aaaand save you money Watch this before you go on that online shopping spree, and let us know if you agree!","investing in equipment","FAVOR","Equipement","FAVOR"
"Needed: An Effective Nuclear Energy Policy heritage.org Needed: An Effective Nuclear Energy Policy The Heritage Foundation Effective nuclear energy policy is important for as many reasons as there are diverse groups engaged in, or affected, by it. Effective nuclear policy matters for the taxpayer, who is on the hook for...","nuclear energy","FAVOR","taxpayer","FAVOR"
"Zion Pettigrew is a consensus first-team All-American after earning two more All-American awards as the top third baseman in NCAA Division II. He finished the season with 94 hits, 79 runs, 28 home runs, and 95 RBI.","college sports","FAVOR","Zion Pettigrew","FAVOR"
"Stephen Donnelly ""Reid is leaving behind a much enhanced HSE"" The greatest LIE ever told. How can anyone trust these utter charlatans and complete failures. Just watch the mask mandate being used to cover up as things get worse. It s all smoke screens.","lockdown","AGAINST","Stephen Donnelly","AGAINST"
"Vs US ! Ps: Iran's president, Hassan Rouhani met with President elect, Ebrahim Raisi, today in Raisi's office in Judiciary congratulated Raisi's victory in 13th presidential Election on Friday","election","FAVOR",", Hassan Rouhani","NONE"
"TYT exists so that fans of Bernie and AOC can mainline empire propaganda while still feeling like leftist revolutionaries. 72 433 2,381","bernie sanders","FAVOR","fans of Bernie and AOC","AGAINST"
"Real footage of Michael Jordan's ""The Shot"". Crazy how the NBA has been hiding this for decades... From Ballsack Sports 10 118 2,237","nba","AGAINST","Michael Jordan","FAVOR"
"A somber as the ska world reels from the sad news of Terry Hall s passing. In this 1980 clip, he gives the cultural context of growing up in the midlands in the 1970s that set the scene for The Specials. Thanks for your voice, Terry. 4 80 616 26K","ska","FAVOR","ska world","NONE"
"IQST - IQSTEL, From our Shareholder Letter: We are more than an amazing company. We are five amazing companies all rolled into one: IQSTelecom Telecom , EVoss Electric Vehicles , Global Money One Fintech , IoTLabs Technology , and ItsBchain Blockchain Etelix vimo vip","merger","FAVOR","IQSTEL","FAVOR"
"APPROPRIATE: Fauci in baloney mask -Hanging on wall in one of my customers office today - Buffalo, MN 20 mi west of dark blue Minneapolis bc","lockdowns","FAVOR","customer's office","NONE"
"I just placed more than 6 NANO and VITE orders let s see if I m buying at the dip again! I like buying at sales with this nice prices. Who else is buying during this decrease? I still thinking we are going to have a nice weekend and if not and still decreasing,I will buy more","cryptocurrency","FAVOR","NANO and VITE orders","FAVOR"
"CW denial of care by a medical insurance agency Julie Rehmeyer julierehmeyer Jun 11, 2021 This is an emergency situation. My policy covers air ambulances for emergency situations. But nevertheless I am being denied. BCBSIL is basically telling me to go die unless I pay 28,000 for my own air ambulance, despite paying for my premiums. 3 Show this thread","emergency","FAVOR","Air ambulances","FAVOR"
"as an old timer, i remember back in early 2010s when Right Wing Watch had to upload to backup YouTube channels because of content issues. reinstatement was very likely this time as well. most YouTube issues stem from automated systems or low-level moderators making decisions","youtube","FAVOR","Content Issues","NONE"
"A detail to note is that Megumi's Dog always consumes curses after. I presume shigikami to be creatures made of positive curse energy, opposite to curses. So I think this consumption likely erases -ve CE so that the Curses never reform similar to Mahoraga's weapon.","curse","FAVOR","shigikami","FAVOR"
"Erriyon Knighton was right at the top of Alabama s 2022 WR board early in the process. He decided to give up football to focus on track. He just finished in first place with a 19.88 in the men s 200m semi-final heat in the Olympic trials. He is 17-years old.","track and field","FAVOR","Erriyon Knighton","FAVOR"
"2 4 an act of intimidation and Harassment by our own agencies. Instead of keeping an eye on terrorists the recent unfortunate blast in Lahore , they are harassing students for merely speaking against the private education mafia. As a matter of fact , in the past few months it","private education","AGAINST","private education mafia","AGAINST"
"Sorry to hear of the passing of former Defense Secretary Don Rumsfeld. I traveled the world with Rummy, including China and Mideast after 9 11. An American original. He once told me You re drilling holes in the Pentagon and sucking out information Unintended compliment.","rumsfeld","FAVOR","Rummy","NONE"
"Buzzing to be back Looking forward to this season, Up the Vale The following media includes potentially sensitive content. Change settings View","college football","FAVOR","Up the Vale","FAVOR"
"NATIONAL CHAMPIONS! Eastern Connecticut State defeats Salisbury twice to claim their 5th NCAA DIII National Title EasternBSB","ncaa","FAVOR","Eastern Connecticut State","FAVOR"
"With petrol prices breaching the Rs 100 mark, many states are coming up with subsidies incentives to propel the growth of electric vehicles. Consumers have started thinking about economical sustainable transport and the fuel price hike trends may push people to switch to EVs.","electric vehicles","FAVOR","petrol prices","AGAINST"
"Substitute teachers are in high demand across OH. The House Primary Secondary Education Cmte just passed emergency legislation to adjust education requirements for prospective substitute teachers, arming all school districts with the tools needed to keep kids in the classroom.","emergency legislation","FAVOR","education requirements","FAVOR"
"Really pleased to speak to the ABC s flagship rural program abclandline about some of my priorities in the Agriculture portfolio, including tackling farm workforce shortages, biosecurity threats, climate change action and value adding to our world-beating farm produce.","climate change","FAVOR","Agriculture portfolio","FAVOR"
"Zemmour is producing some complex interpretations Leftists liberals centrists: Zemmour is a Nazi PSYOP to run a candidate impervious to anti-semitism maledictions Far Right: Zemmour is a finklethink frankist PSYOP to aggrandize Israel Conspiracy podcasters: he's both","zemmour","FAVOR","Nazi PSYOP","AGAINST"
"organised awareness drive on at Krusan, Event focused on the problems raised due to vehicular pollution industrialization. manojsinha majorgauravarya","pollution","FAVOR","industrialization","NONE"
"Europe pulled in more from all regions in 2022, while Asia cut buying from Africa North America. The shift in Mideast flows was extremely marginal despite Qatar's key spot supplier role. Qatar topped up its contract buyers portfolio players swung US supply to Europe. 1 13 15 2,932","gas","AGAINST","Mideast flows","NONE"
"So around 14,000 EU lorry drivers have had enough of the likes of Nigel Farage, Jacob Rees-Mogg, Johnson all the other Little Englanders blathering on about migrants sovereignty, so they've fucked off - leaving our sheves half empty. Don't blame em. From UK is with EU","brexit","AGAINST","Little Englanders","AGAINST"
"For 16 days of activism, I m teaming up with The Defender Project for a FREE self-defense course for JHB based women. This course takes on a holistic approach by pairing physical defense skills with environmental awareness and stress management techniques!","women","FAVOR","activism","NONE"
"I'm straight up telling you that you're an idiot if you think crypto bull market is over. We are heading towards the worst period of inflation and tyranny the world has ever seen. Go sell your get your fucking jabs and government bananas slave passports and GTFO! ARRR","cryptocurrency","FAVOR","crypto bull market","AGAINST"
"Writing assistance AI thingies are like ""Here's a suggestion on how you can make this sentence technically more formally sound while also making it much less interesting and stripping it of all personality! Change or ignore?""","ai","FAVOR","sentence","FAVOR"
"Get to know the fisherman, or learn to fish and you ll never have to worry about chicken and beef prices again. Much healthier for you anyway.","fish","FAVOR","Fisherman","NONE"
"protective guard. Kept safe in private or home schooling, never going anywhere without a guard detail. They are made aware of the danger they might face some day, and so they are prepared for that potential possibility. Some part of him understands why she never told Chuuya.","school","FAVOR","guard detail","FAVOR"
"Shrinkflation is the phenomenon where items are reduced in size but not price, allowing the manufacturer to avoid raising prices as a result of the rising price of ingredients Since no one keeps packaging from years ago, it's one of the more insidious forms of inflation 59 854 2,177","inflation","AGAINST","Shrinkflation","NONE"
"Yukio Mishima: Sun, Steel and Sex Queer Studies Professor Hitomi Sawabe makes an impassioned case for reclaiming the legacy of queer icon Yukio Mishima from the far right, arguing that if his work is understood in terms of queerness he would be politically leftist. Tickets 40","gay rights","FAVOR","politically leftist","FAVOR"
"he s so weird god I found it so charming when he said I must be one of the only men in England and then corrected himself like only person like he was like NON-MEN GENDERS CAN ALSO LIKE OR HATE BAKED BEANS!!!! BAKED BEANS EQUALITY! 28 450 3,825","gay rights","FAVOR","BAKED BEANS","AGAINST"
"We must develop a full system of Charter and private schools...stop our tax dollars going to these perverted public education systems!!!","public schools","AGAINST","Charter","FAVOR"
"6 months, 6 goals 1. Get Accustomed to Florida Living 2. Have a decent amount saved for Wedding 3. 1K Followers 4. Pay Down Debt 5. Drop a huge chunk of Lbs 6. Upgrade GPU when prices are normal ArelyLiset DizzyDGaming1 erisnovaa MrClapTV theTeachGaming Nagurzki24","cryptocurrency","FAVOR","Florida Living","FAVOR"
"AHEA benefits include resources, professional development opportunities, and: Curriculum internationalization Faculty development International partnerships Student mobility international student recruitment Institutional effectiveness accreditation","aheas","FAVOR","professional development opportunities","FAVOR"
". SB19Official promoting Filipino music, culture and arts to the world, campaigning for environmental causes, and spreading social awareness for a better governance. This is why we stan. 1 1,026 1,593","stan","FAVOR","SB19Official","FAVOR"
"Comic Con Africa 2022 Official POSTER!!! We are officially 1 Day away from the biggest Pop Culture Gaming FestivalCome through let's have a kick about and Geek out ART AND INKS BY:ANDREW LEE GRIFFITH Comic Book Artist I USA COLOURS BY:CLYDE BEECH I Clyde Beech I SA","comic con","FAVOR","Pop Culture Gaming","FAVOR"
"Utter cynicism from Gillian Keegan MP who complains that conflict over issues such as taking the knee , the scommemorative statues, so on is divisive , when these issues are deliberately exploited tory voters colleagues to fan their race war","racism","AGAINST","scommemorative statues","AGAINST"
"Im gonna need long-haulers who are new to disability politics to read Marta Russell with a quickness. With the size and visibility of our cohort of disabled people, long haulers need to develop a rigorous disability politic rooted in disability justice and anti-capitalism.","people with disabilities","FAVOR","Marta Russell","NONE"
"10 We also have an IMF working paper: The Liquidation of Government Debt which is essentially a guide to how the US will de-lever. It involves running the WW2 playbook. Below is the abstract. Financial Repression Savers earning returns below the rate of inflation","financial repression","FAVOR","Liquidation of Government Debt ","NONE"
"Years ago in SA I used to spend time with a group of musicians who lived in what looked like a squat who were actually middle to upper class kids one is the son of a prominent right wing journalist who sang about being on the dole. Anyway, Rory Gilmore reminds me of them. GIF ALT","australian","FAVOR","Musicians","NONE"
"People are unable to cope up with financial crisis! Post COVID but instead of giving relief to common people The prices of Fuel is increasing consistently disturbing the budget! But for Modi Sarkar Sab Changa Si rhetorics goes on!! LPGburningPockets","fuel prices","AGAINST","prices of Fuel","AGAINST"
"HEALTH: Ground zero for the Black Plague finally found after 600 years. European scientists now believe they've traced the origins of the Black Death that was considered one of the largest infectious disease catastrophes in human history - to the WuHan region of China.","identify","FAVOR","Black plague","AGAINST"
"According to information of the state emergency epidemic prevention HQ, more than 100 710 fevered persons about 11 210 more than the previous day , with 98 290 recoveries about 8 100 less than the previous day and one death, were reported from 6pm of May 28 to 6pm of","lockdown","FAVOR","State Emergency","NONE"
"Pro life Poison water Pro life No free lunches Pro life No Gun Control Pro life No Daycare Pro life No Healthcare Pro life No Home Pro life No choice.","pro life","AGAINST","Pro life No Healthcare","NONE"
"So the Biden regime can t send resources to secure our border, but they can send Fauci s army to knock on doors in Mesa County and push the experimental COVID vaccine? The Biden Nanny State is out of control. 608 444 1,653","vaccine","AGAINST","Biden regime","AGAINST"
"Right NOW GregAbbott TX has the power to: - Restore Article X funding - Give retired teachers a 13th check - Fund foster care reform. If he was really serious about these issues, he would get to work and Republicans would speak up . Hasn t happened.","greg abbott","AGAINST","Article X funding","FAVOR"
"Canadian draft prospect Leonard Miller announced he will keep his name in the NBA draft pool past the NCAA withdrawal deadline and continue exploring professional options, including G League Ignite and staying in the draft. Has until June 13th to withdraw from the 2022 NBA Draft.","nba draft","FAVOR","NBA Draft Pool","FAVOR"
"Once Upon a Time in China America 1997 Sammo Hung. The highlight of this 6th installment is Jet Li's Wong Fei-Hung vs Xin Xin Xiong's Seven. Seven is fighting Wong to help him regain his memories after losing them in an accident. Friendship goals!","wong fei hung","FAVOR","Xin Xin Xiong's Seven","NONE"
"Hey! I'm quitting my job due to the toxic work culture. I am looking something like teaching maths upto K12 cbse science K10 at some coaching centre or something not WFH. If y'all are aware of any such opportunities in faridabad please let me know.","working from home","FAVOR","opportunities in faridabad","FAVOR"
"The murder of four young activists in a terror attack in north Waziristan is the latest manifestation of terror resurgence in the area. Non violent youth opposed to terrorism is the prime target. A new terrorist wave to justify war on terror-2 for dollars.","the attack in north waziristan","AGAINST","Murder of four young","AGAINST"
"Zemmour is producing some complex interpretations Leftists liberals centrists: Zemmour is a Nazi PSYOP to run a candidate impervious to anti-semitism maledictions Far Right: Zemmour is a finklethink frankist PSYOP to aggrandize Israel Conspiracy podcasters: he's both","far right","FAVOR","frankist PSYOP","AGAINST"
"Who s trying to sell CCSF? The student loan industry funds the reform agenda of downsizing community colleges for the benefit of private profits. We need a chancellor who will push back against this corporate takeover of public education and stand up for City College!","community colleges","AGAINST","student loan industry","AGAINST"
"protective guard. Kept safe in private or home schooling, never going anywhere without a guard detail. They are made aware of the danger they might face some day, and so they are prepared for that potential possibility. Some part of him understands why she never told Chuuya.","transgender","AGAINST","protective guard","FAVOR"
"BN has Ebit Lew PN has Shahidan Kassim PH has Awie As if asking for 50 or even 30 female representation is unreasonable enough for men in power, they can't even stay away from sexual harrassers, pedophiles, and domestic abusers. General Election over Gender Equality? ALT ALT ALT ALT","gender equality","FAVOR","Ebit Lew","AGAINST"
"Not in a relationship,not making reels ,not travelling,not having fun with friends ,living in solitude The following media includes potentially sensitive content. Change settings View","lockdown","FAVOR","Living in Solitude","NONE"
"Chuck Todd is right for the first time in a LONG time and the leftist blue check brigade is having a meltdown over it. Joe Biden does not have a loyal fan base. No one likes the guy. Look at his approval ratings. 272 727 3,422","biden","AGAINST","leftist blue check brigade","AGAINST"
"Quinnipiac poll: 4 out of 5 Texas Republicans ""believe there was widespread voter fraud in the 2020 presidential election."" There wasn't. No one disputing the outcome has put forward credible evidence of widespread election fraud in any state. poll.qu.edu 74 Of Texas Voters Oppose Handguns With No License Or Training, Quinnipiac University Poll Finds ...","voter fraud","AGAINST","Texas Republicans","AGAINST"
"rafa always looking for the lgbtq rep in books, films, tv shows etc. he's just like us fr","gay rights","FAVOR","lgbtq rep","FAVOR"
"The enemy is also employing PSYOP in its war on climate action. It has promoted the narrative that climate-change impacts will be mild, innocuous, easily adapted to MichaelEMann Sounds like Covid gun violence!","climate change is a serious threat","FAVOR","MichaelEMann","AGAINST"
"I half-jokingly asked my dad if he was gonna join in with the WDI walkout today since he s been WFH, and homeboy pulled out my moms picket sign from when she was on strike with the concessions workers in the 90s.","strike","FAVOR","WDI walkout","NONE"
"We might have to make a thing! Whaddya say?? If you re not already, follow the Zoo on TikTok! santabarbarazoo on TikTok is full of wild, fun videos with more on the way !","tiktok","FAVOR","Zoo","FAVOR"
": HorizonEU project Agroecology-TRANSECT Trans-disciplinary approaches for systemic economic, ecological climate change transitions aims to deliver robust evidence of the benefits of on climate change mitigation, biodiversity and farm socio-economic resilience","agroecology","FAVOR","systemic economic","FAVOR"
"Well, TIL: local health insurance costs more than the Hungarian AND it hit so hard my savings account lost about 1 5 of it's value. I can not get a job without a language training but I can not get one without a job. Emergency commissions open now! Details in the next tweet!","healthcare","FAVOR","language training","NONE"
"So think of it like this if your in a republican state the only coast cities south carolina oregon. Federally the north has some programs club fed, environmental protection agency, cia fbi. I wonder if chapo is in Leavenworth kansas. Chicago's number 1 public enemy's","gun control","FAVOR","Leavenworth kansas","AGAINST"
"10 Ways to Make Your Home Greener ... Here are 10 ways to embrace a greener lifestyle: Swap out appliances: ENERGY STAR products use less energy and meet strict criteria set by the U.S. Environmental Protection Agency and U.S. Department of Energy. Compost Bin: Keep fo","global warming","FAVOR","ENERGY STAR products","FAVOR"
"Her graduate work was supported by a National Science Foundation Graduate Research Fellowship award, as well as a United States Environmental Protection Agency Science to Achieve Results Graduate Research Fellowship.","climate change","FAVOR","Graduate Research Fellowship","NONE"
"NEWS Helsinki s coal plant to shut down nearly two years ahead of schedule helsinkitimes.fi Helsinki s Hanasaari coal plant to shut down nearly two years ahead of schedule The coal-powered combined heat and electricity plant has accounted for about two per cent of the carbon dioxide emissions of Finland.","climate change","FAVOR","Helsinki's Hanasaari coal plant","AGAINST"
": HorizonEU project Agroecology-TRANSECT Trans-disciplinary approaches for systemic economic, ecological climate change transitions aims to deliver robust evidence of the benefits of on climate change mitigation, biodiversity and farm socio-economic resilience","climate change","FAVOR","HorizonEU project Agroecology-TRANSECT","FAVOR"
"- . Please watch Mamuka Mamulashvili, commander of the georgian legion comprised of volunteer fighters from 32 nations, share the heartbreaking story motivating his lifelong fight against Russian terrorism. HERO The following media includes potentially se","russian aggression","FAVOR","Mamuka Mamulashvili,","FAVOR"
"Avril's hoping she can inspire more women to manage men's football teams She's been in charge of Minehead AFC as the only female head-coach in senior football in the County League since October 19, after 10 years of coaching Avril is now working toward her UEFA B","football","FAVOR","Minehead AFC","NONE"
"Warning labels should be tattooed on the forehead of every leftist liberal. This person is dumber than they appear. Approach with caution.","climate change","AGAINST","leftist liberal ","AGAINST"
"One of the ACC's priorities this year is to support building branches, fighting casualisation and winning recognition in Private Education Providers. We fully support this motion and urge all HE sector conference delegates to do the same. ucuCongress2021 USIC UCU UcuUsic May 31, 2021 That's why we proposed Motion HE33 which will be heard in HE Sector Conference on Weds. The central task of the trade union movement today is to organise the unorganised build workplace branches and fight for union recognition where no union exists. Please support this motion. Show this","trade unions","FAVOR","casualisation","AGAINST"
"crunchyroll horribly mismanages themselves ""it's the right wing's fault"" The following media includes potentially sensitive content. Change settings View 71 292 1,896","anime","FAVOR","crunchyroll","AGAINST"
"Locals in Wicklow Ireland last night fighting with recently moved in migrants over allegations they have been harassing local women 1,059 2,574 7,043","migrants","AGAINST"," Harassing Local Women","AGAINST"
". aespa official ""Savage"" is now the longest charting SM artist song at on FLO Chart after the chart reform. 129 hours . 3 458 1,881","sm","FAVOR","SM artist ","NONE"
"New Safe Kids Worldwide Alliance Unites Child Injury Prevention Organizations Around Global Epidemic that Kills One Million Children a Year Hope for Victims Of traffic Accidents HOVITA joins global efforts to reduce preventable injuries and save children s lives around the","child safety","FAVOR","Child Injury Prevention Organizations","FAVOR"
"FUEL PRICE ADVISORY Unioil will implement the following price changes VAT inclusive , EFFECTIVE 6:01AM JUNE 22, 2021. This is to reflect the changes in the international oil market. DIESEL - P0.70 GASOLINE - P0.75 Price change varies to some location 1","price of gas","FAVOR","Unioil","NONE"
"GIVEAWAY We opened a Magic: The Gathering The Brothers' War Set Booster Box for a product preview now we're GIVING AWAY a SEALED Collector's Booster Box to one of our followers! To Enter: RT Like Reply w your card Follow Winner announced 11 22!","giveaway","FAVOR","Collector's Booster Box","FAVOR"
"NEW MENS TEAM ! We are proud to say we will be moving to men s adult football from next season 2021-22 and making a pathway for all our future lions if you are a ex WWFC player and looking to play for us please get in contact.","football","FAVOR","men s adult football","FAVOR"
"Little Mix rush releasing Cut You Off would literally be one of the biggest clap backs in pop culture history I NEED this From RCA Records UK 16 566 2,438","gay rights","FAVOR","Little Mix","NONE"
"LTU cannot be slept on in the Mideast! LTU Football LTU FB Nov 6, 2021 FINAL: LTU 31, USF 28","university of south florida","FAVOR","LTU","NONE"
"Now You Know. 45 Is A Raging Volcanic Psychopath, A Lunatic Who Attacked Secret Service Shattered China Against The Walls Leaving Ketchup Dripping Down. He Belongs In A Psych Ward With No Platform To Insight A Roving Coup.","trump","AGAINST","lunatic","AGAINST"
"The Biden White House s ceremony for the marriage equality bill was a bizarre carnival. Everybody seemed to forget that gays lesbians have had this right for 7.5 yrs that the majority on both sides support it. Also, u can t have a same sex marriage if you don t have a gender. 74 491 1,794","gay rights","FAVOR","Biden White House s ceremony","AGAINST"
"COMMITMENT ALERT Congrats to defensemen Mitch Becker on his commitment to play NCAA D1 hockey at UMass-Lowell!","hockey","FAVOR","Mitch Becker","FAVOR"
"To me the most exotic experience in dining is eating vegetarian delicacies on a banana leaf. I am almost like a child, hungry for food. 22 140 1,704","vegetarian food","FAVOR","dining","NONE"
"As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect and wondered if metamorphosis was included in his group health insurance policy.","health insurance","FAVOR","Gregor Samsa","NONE"
"Expose and denounce the ""green"" antinuclear lobby. It has been setting Europe back decades by misrepresenting and corrupting science, and by opposing essential energy technology. It's been getting away with it by flying a false Environmentalist flag. Nuclear energy is green! European Parliament Europarl EN Jun 3, 2021 EU official organization Europeans still have a broadly positive image of EU but ask for reforms, according to the Parliament's latest public opinion survey. Find out more","climate change","FAVOR","antinuclear lobby","AGAINST"
"Castillo is ahead in the presidential election in Peru and will likely win. In 3 months he has gone from unknown to president of the Republic. And put another nail in the coffin of Fujimorismo. An amazing achievement for him and the grassroots movement behind him.","peru","FAVOR","President of the Republic","FAVOR"
"The Mideast League Preseason Poll is out, and CUAA Football takes the top spot as decided by league coaches The rest of the league rankings :","mideast league","FAVOR","CUAA Football","FAVOR"
"Doctors who are relatives of patients should learn to be respectful of the attending physician's competence and decision-making. It's hard to take care of a patient when his her doctor relatives keep on chiming in on everything regarding the patient's management.","doctor","AGAINST","Patient's management","NONE"
"Remember guys, you can combine Lil durk, Lil baby, Kodak black 1 albums together they still wouldn t have more than NBA Youngboy. Fun fact of the day.","youngboy","FAVOR","Lil durk","AGAINST"
"Dear beloved patients. The screening tool for covid was made in a way to protect you and the health care worker Please don't lie about your symptoms then decide to tell the truth when you are now seeing the doctor And lastly being vaccinated doesn't mean you are immortal","patients","AGAINST","screening tool for covid","FAVOR"
"RIDICULOUS! Clean energy advocates praise Ford's plan to invest in Missouri electric vehicles The following media includes potentially sensitive content. Change settings View","climate change is real","FAVOR","Clean energy advocates","NONE"
"Optus Sport has landed the broadcast rights for the 2023 Women's World Cup in Australia. All games will be shown live","sports","FAVOR","Broadcast Rights","NONE"
"I Would Like To See Her Tax Returns In Fact, I Want To See All The Democrats Tax Returns! We Are Waiting! 19 189 355 4,765","trump","FAVOR","Tax Returns","FAVOR"
